State,Park ,Recreation Visitors,Percent Change,ConcessionerLodgingOvernights,ConcessionerLodgingOvernightsPercentChange,ConcessionerCampingOvernights,ConcessionerCampingOvernightsPercentChange,TentOvernights,TentOvernightPercentChange,RecreationVehicleOvernights,RecreationVehicleOvernightsPercentChange,BackcountryOvernights,BackcountryOvernightsPercentChange
Massachusetts,Boston NHP,"277,170",-91.34%,0,,0,,0,,0,,0,
Massachusetts,Cape Cod NS,"4,083,505",-0.31%,0,-100.00%,0,,0,,0,,0,
Massachusetts,Frederick Law Olmsted NHS,"2,570",-67.01%,0,,0,,0,,0,,0,
Massachusetts,John F. Kennedy NHS,451,-98.18%,0,,0,,0,,0,,0,
Massachusetts,Longfellow House Washington's HQ NHS,"30,014",-45.44%,0,,0,,0,,0,,0,
Massachusetts,Lowell NHP,"53,954",-88.80%,0,,0,,0,,0,,0,
Massachusetts,Minute Man NHP,"1,083,973",6.55%,0,,0,,0,,0,,0,
Massachusetts,New Bedford Whaling NHP,"18,243",-87.28%,0,,0,,0,,0,,0,
Massachusetts,Salem Maritime NHS,"125,554",-62.99%,0,,0,,0,,0,,0,
Massachusetts,Saugus Iron Works NHS,"16,928",107.71%,0,,0,,0,,0,,0,
Massachusetts,Springfield Armory NHS,"1,032",-95.08%,0,,0,,0,,0,,0,
Michigan,Isle Royale NP,"6,493",-75.41%,0,-100.00%,0,-100.00%,"2,086",-57.45%,0,,"8,024",-70.17%
Michigan,Keweenaw NHP,"2,130",-89.63%,0,,0,,0,,0,,0,
Michigan,Pictured Rocks NL,"1,212,251",41.17%,0,,0,,"18,085",7.32%,"10,429",67.88%,"27,707",-1.68%
Michigan,River Raisin NBP,"309,977",36.94%,0,,0,,0,,0,,0,
Michigan,Sleeping Bear Dunes NL,"1,718,696",9.47%,0,,0,,"43,560",-26.47%,"42,612",-30.91%,"4,115",-78.66%
Minnesota,Grand Portage NM,"66,426",-30.07%,0,,0,,0,,0,,44,-22.81%
Minnesota,Mississippi NRRA,"204,707",-45.37%,0,,0,,0,,0,,0,
Minnesota,Pipestone NM,"38,229",-50.68%,0,,0,,0,,0,,0,
Minnesota,Saint Croix NSR,"399,310",25.12%,0,,0,,0,,0,,"43,684",28.18%
Minnesota,Voyageurs NP,"263,091",12.93%,"2,090",-43.92%,0,,0,,0,,"67,277",48.64%
Mississippi,Gulf Islands NS,"959,169",-22.42%,0,,0,,885,-73.67%,"9,585",-63.58%,0,
Mississippi,Natchez NHP,"57,646",-68.35%,0,,0,,0,,0,,0,
Mississippi,Natchez Trace PKWY,"4,899,845",-2.72%,0,,0,,"2,583",-24.41%,"4,092",-26.90%,0,
Mississippi,Vicksburg NMP,"176,236",-69.43%,0,,0,,0,,0,,0,
Missouri,Gateway Arch NP,"486,021",-76.35%,0,,0,,0,,0,,0,
Missouri,George Washington Carver NM,"26,569",-46.38%,0,,0,,0,,0,,0,
Missouri,Harry S Truman NHS,"9,446",-69.28%,0,,0,,0,,0,,0,
Missouri,Ozark NSR,"1,316,795",7.80%,0,-100.00%,0,,"74,960",18.67%,"29,120",47.16%,"12,265",11.45%
Missouri,Ulysses S. Grant NHS,"15,236",-61.38%,0,,0,,0,,0,,0,
Missouri,Wilson's Creek NB,"287,260",23.37%,0,,0,,0,,0,,0,
Montana,Big Hole NB,"36,234",-20.99%,0,,0,,0,,0,,0,
Montana,Bighorn Canyon NRA,"114,638",-14.97%,0,,0,-100.00%,737,,"1,812",,0,
Montana,Glacier NP,"1,698,864",-44.30%,"34,029",-71.63%,0,,"18,635",-84.23%,"17,733",-85.94%,"16,596",-52.25%
Montana,Grant-Kohrs Ranch NHS,"15,328",-38.79%,0,,0,,0,,0,,0,
Montana,Little Bighorn Battlefield NM,"97,461",-59.61%,0,,0,,0,,0,,0,
Montana,Yellowstone NP,"1,941,215",-5.32%,0,,0,,0,,0,,"5,907",3.02%
Nebraska,Agate Fossil Beds NM,"8,722",-47.64%,0,,0,,0,,0,,0,
Nebraska,Homestead NM of America,"40,897",-33.65%,0,,0,,0,,0,,0,
Nebraska,Niobrara NSR,"102,766",68.99%,0,,0,,0,,0,,0,
Nebraska,Scotts Bluff NM,"181,900",9.57%,0,,0,,0,,0,,0,
Nevada,Death Valley NP,"10,830",,0,,0,,0,,0,,0,
Nevada,Great Basin NP,"120,248",-8.77%,0,,0,,"19,965",-3.71%,"15,827",-11.15%,239,397.92%
Nevada,Lake Mead NRA,"6,012,382",6.90%,"7,637",-76.36%,"152,378",31.92%,"35,980",-52.24%,"45,792",-52.24%,"23,620",-80.76%
New Hampshire,Saint-Gaudens NHP,"13,286",-58.17%,0,,0,,0,,0,,0,
